BaseSeed,SoundSpeedSeed,DensitySeed,NoiseSeed,TargetSNR_dB,NoiseScale,AchievedSNR_dB,SystemRMS
1,100001,200001,300001,5,0.0108471073836933,5,0.0192891877189029
1,100001,200001,300001,10,0.00609977674062808,10,0.0192891877189029
1,100001,200001,300001,15,0.00343015653569006,15,0.0192891877189029
1,100001,200001,300001,20,0.00192891877189029,20,0.0192891877189029
1,100001,200001,300001,30,0.000609977674062808,30,0.0192891877189029
