SNR_dB,Method,Mean_SI_NRMSE,SD_SI_NRMSE,Mean_Correlation,SD_Correlation,Mean_SSIM,SD_SSIM,Mean_CNR,SD_CNR,Mean_SBR_dB,SD_SBR_dB
5,DAS,0.698514478160174,0.0124045137366494,0.722825348590511,0.0124701185242098,0.355719540939292,0.0416238868536424,2.12591201016104,0.147570981757395,17.2912125914687,0.165512183028126
5,CF-DAS,0.702711347654958,0.0281646656991714,0.709065980198257,0.0291667879388474,0.870031301324215,0.00213749507010145,1.06820508799577,0.101672984132806,26.2183770457185,0.881100787904249
5,SCF-DAS,0.947122576311121,0.00495996525576064,0.318699119511608,0.0147563372794068,0.90248577333761,0.00334029968733565,0.335413471407914,0.0180059638021949,32.1290691938146,1.66797772582675
5,DMAS,0.849192928968614,0.0208456577597464,0.523115865962504,0.0310226338145594,0.449778031526606,0.049516799938959,0.712520259064979,0.0641509912304149,21.256768221778,0.585128690473962
5,DS-DMAS,0.924417350967919,0.00613413217849427,0.369500008235303,0.0148038284421243,0.879867125213781,0.00589172103275844,0.425850016305221,0.0193921688812446,23.3939253981436,1.19776830100996
5,TR,0.698410110911818,0.00187847968005354,0.725291895054244,0.00182433881347698,0.567524593000266,0.00444574833850889,2.31052612547492,0.0142198450216581,16.9335214865554,0.0398360250035602
10,DAS,0.685810371058318,0.0117016516950838,0.735126759380533,0.011301749264033,0.53427149280522,0.0368372025906048,2.14399535096813,0.148273806484067,17.6768360540362,0.188346641178255
10,CF-DAS,0.699613285379723,0.0283725783951778,0.712103253476556,0.0291783191002301,0.874765154818639,0.00210745281918019,1.07511232414583,0.102795248357922,26.3607252868056,0.901581504504586
10,SCF-DAS,0.946844127091273,0.00517027850912309,0.319416855622767,0.015258139627275,0.902872709188752,0.00280246879580805,0.336630587735172,0.0188033923080689,31.865391166458,1.66472371028969
10,DMAS,0.855563518178534,0.0198377621713943,0.512295322500005,0.0303124115441232,0.476604607303168,0.046893167357065,0.690529204626339,0.0611390023604494,21.2755440821458,0.573521367676943
10,DS-DMAS,0.925728458181533,0.00586355354870214,0.365348239291404,0.0144103835829533,0.879264742422949,0.00492079845777435,0.423224240120066,0.0180122665497276,23.0028083759806,1.17494652325159
10,TR,0.696623818535842,0.00159667895040859,0.727051775131309,0.00153844653741868,0.62554305730709,0.00435735196323913,2.31430531199995,0.0128663306749939,16.9837947889425,0.0301626467247779
15,DAS,0.68153885972345,0.0115709921309373,0.739158206844349,0.0110620188586336,0.646964319835498,0.0234144027768277,2.14992312015261,0.148581725634134,17.8070044722687,0.205006168422096
15,CF-DAS,0.69864543349982,0.0284650249996335,0.713043668273,0.0292179697012639,0.875620138553495,0.00216710818638018,1.07722217763907,0.103190127121349,26.4068395266383,0.902799771896135
15,SCF-DAS,0.94614009892537,0.0054402924242665,0.321476060440702,0.015927641778076,0.901943532757602,0.00293973932868093,0.339686573783856,0.0197074857410528,31.4905707475459,1.67912632311014
15,DMAS,0.858990038958027,0.0194340963215451,0.506281013250866,0.0301788067430739,0.487601925731869,0.0451219265502397,0.680022631619099,0.0599356765821447,21.2233982469496,0.578121733207586
15,DS-DMAS,0.926223799491433,0.00577039282626514,0.363540552341875,0.0143027399568153,0.876480097617922,0.00501267608371496,0.422415125718946,0.0175824826901787,22.8075299830595,1.17028058153058
15,TR,0.696069758685017,0.00150605386123214,0.727595024666649,0.00145170894068402,0.64831732673603,0.00433851030630597,2.31550165311091,0.0125947012457414,16.9993166738163,0.0263516330168129
20,DAS,0.680157640900167,0.0115388765779674,0.740448719302499,0.0110111246044531,0.695820091487709,0.015755201878543,2.15187121033838,0.14872105290592,17.8490688905392,0.210426162377719
20,CF-DAS,0.69835106448822,0.0285073752376486,0.71332754479564,0.0292487581542984,0.875852911204011,0.00217493737857762,1.07782218501236,0.10333300314502,26.4225024344069,0.900652536220705
20,SCF-DAS,0.945761734056714,0.00560284969101771,0.322578579005079,0.0162841448812444,0.901439182100791,0.00293829793720299,0.341358725702808,0.0200924623400813,31.3134133950172,1.68965391875687
20,DMAS,0.860156944371613,0.019405020029089,0.504034771829941,0.0303795222756672,0.496106269825412,0.044030867536233,0.676213041670402,0.0598544552938986,21.2035958153086,0.581702718059806
