BaseSeed,NoiseSeed,TargetSNR_dB,NoiseScale,AchievedSNR_dB,SystemRMS
1,300001,5,0.0109680373086558,5,0.0195042349145213
1,300001,10,0.00616778063488669,10,0.0195042349145213
1,300001,15,0.00346839793570555,15,0.0195042349145213
1,300001,20,0.00195042349145213,20,0.0195042349145213
1,300001,30,0.000616778063488669,30,0.0195042349145213
