Realization,BaseSeed,SourceId,OriginalSeedSubset,SNRIndex,SNR_dB
31,31,three_line_fixed,0,4,20
31,31,three_line_fixed,0,5,30
32,32,three_line_fixed,0,1,5
32,32,three_line_fixed,0,2,10
32,32,three_line_fixed,0,3,15
32,32,three_line_fixed,0,4,20
32,32,three_line_fixed,0,5,30
33,33,three_line_fixed,0,1,5
33,33,three_line_fixed,0,2,10
33,33,three_line_fixed,0,3,15
33,33,three_line_fixed,0,4,20
33,33,three_line_fixed,0,5,30
34,34,three_line_fixed,0,1,5
34,34,three_line_fixed,0,2,10
34,34,three_line_fixed,0,3,15
34,34,three_line_fixed,0,4,20
34,34,three_line_fixed,0,5,30
35,35,three_line_fixed,0,1,5
35,35,three_line_fixed,0,2,10
35,35,three_line_fixed,0,3,15
35,35,three_line_fixed,0,4,20
35,35,three_line_fixed,0,5,30
36,36,three_line_fixed,0,1,5
36,36,three_line_fixed,0,2,10
36,36,three_line_fixed,0,3,15
36,36,three_line_fixed,0,4,20
36,36,three_line_fixed,0,5,30
37,37,three_line_fixed,0,1,5
37,37,three_line_fixed,0,2,10
37,37,three_line_fixed,0,3,15
37,37,three_line_fixed,0,4,20
37,37,three_line_fixed,0,5,30
38,38,three_line_fixed,0,1,5
38,38,three_line_fixed,0,2,10
38,38,three_line_fixed,0,3,15
38,38,three_line_fixed,0,4,20
38,38,three_line_fixed,0,5,30
39,39,three_line_fixed,0,1,5
39,39,three_line_fixed,0,2,10
39,39,three_line_fixed,0,3,15
39,39,three_line_fixed,0,4,20
39,39,three_line_fixed,0,5,30
40,40,three_line_fixed,0,1,5
40,40,three_line_fixed,0,2,10
40,40,three_line_fixed,0,3,15
40,40,three_line_fixed,0,4,20
40,40,three_line_fixed,0,5,30
41,41,three_line_fixed,0,1,5
41,41,three_line_fixed,0,2,10
41,41,three_line_fixed,0,3,15
41,41,three_line_fixed,0,4,20
41,41,three_line_fixed,0,5,30
42,42,three_line_fixed,0,1,5
42,42,three_line_fixed,0,2,10
42,42,three_line_fixed,0,3,15
42,42,three_line_fixed,0,4,20
42,42,three_line_fixed,0,5,30
43,43,three_line_fixed,0,1,5
43,43,three_line_fixed,0,2,10
43,43,three_line_fixed,0,3,15
43,43,three_line_fixed,0,4,20
43,43,three_line_fixed,0,5,30
44,44,three_line_fixed,0,1,5
44,44,three_line_fixed,0,2,10
44,44,three_line_fixed,0,3,15
44,44,three_line_fixed,0,4,20
44,44,three_line_fixed,0,5,30
45,45,three_line_fixed,0,1,5
