BaseSeed,OriginalSeedSubset,NoiseSeed,TargetSNR_dB,AchievedSNR_dB,Method,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
1,1,300001,5,5,DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.98526318097743,0.695256258802798,0.724221719449129,0.336351954843251,2.13446619044214,17.3849116142174,34.8092663496564,0.0155088120709141,0.00209571852678875,0.0748839,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,5,5,CF-DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.998850545615455,0.675388512772173,0.736163999371664,0.868641965077165,1.16832516878555,25.651667537872,472.909385505065,0.00142074979849871,7.41197978581842e-05,0.0760168,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,5,5,SCF-DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.999900237355412,0.939232255469289,0.342106739084643,0.891998510213987,0.368415139060783,29.4323103260523,1180.7901320707,0.00027243909423998,9.1971635916628e-06,0.0999349,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,5,5,DMAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.998163747240412,0.845618259554671,0.533917119847658,0.33502951222854,0.761645328007864,20.2326367761547,154.810114368341,0.00286563304748535,0.000278990065060754,0.1331902,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,5,5,DS-DMAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.999367302606299,0.923465085207963,0.371223661427861,0.869748951501967,0.443740526190821,21.4138888824326,232.246555419221,0.00142285514704976,0.000120911120293485,1.6518719,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,5,5,TR,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.778131354872823,0.697107234976952,0.726273973922231,0.560647564175916,2.31879935083449,16.9554310544457,1.93129726040302,0.273337208950281,0.0388085308998029,16.1186044,direct_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
1,1,300001,10,10,DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.985281680895681,0.68167559411547,0.738031548894644,0.521952239697772,2.15321044584195,17.7942330732533,36.1335189844036,0.0154675776048172,0.00199393340822468,0.0480621,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,10,10,CF-DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.998842229196773,0.671754023324079,0.739570650098681,0.874650686725386,1.1761877338709,25.7562284410768,473.742194011044,0.00142620119775974,7.35138850342871e-05,0.0481091,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,10,10,SCF-DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.999885582673303,0.944797133377903,0.326412321864583,0.895847361285671,0.34775630050665,29.7600819646553,937.858651831556,0.000327317984737805,1.06405914934601e-05,0.0675646,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,10,10,DMAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.998182430686034,0.854249256300592,0.519421476957051,0.365234820227149,0.729499168482774,20.215233920793,148.325666295957,0.00291017857875478,0.000283895130646425,0.094652,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,10,10,DS-DMAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.999329525676228,0.928594821633453,0.357442029752855,0.871689930409332,0.428527621616395,20.9580298823296,204.962035002927,0.00154211855818157,0.000138107183797025,1.5891601,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
1,1,300001,10,10,TR,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.777760612798856,0.695060739745241,0.728381237594997,0.617353877492916,2.32440134032721,17.0111829953174,1.94337669782706,0.273069791335905,0.0385225039792866,23.8021335,direct_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
1,1,300001,15,15,DAS,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,0.090634572482917,0.98529402917043,0.677252532817991,0.742631081847703,0.643864322673422,2.15910517098476,17.9276292397069,36.5758905987863,0.0154475414625217,0.00196100141745858,0.1662566,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
