Metric,MeanMorphologySpearman,MinimumMorphologySpearman,MeanAcquisitionSpearman,MinimumAcquisitionSpearman
SI_NRMSE,0.971428571428571,0.942857142857143,0.961904761904762,0.942857142857143
Correlation,0.971428571428572,0.942857142857143,0.961904761904762,0.942857142857143
SSIM,0.971428571428571,0.942857142857143,0.990407173739441,0.985610760609162
CNR,0.971428571428571,0.942857142857143,0.990407173739441,0.985610760609162
SBR_dB,0.460688404438005,-0.231908414260979,0.679926315955023,0.405839724956714
CenterlineRecall,1,1,1,1
BranchPointRecovery,0.992805380304581,0.985610760609162,0.961904761904762,0.942857142857143
TerminalBranchRecovery,0.992805380304581,0.985610760609162,0.961904761904762,0.942857142857143
