Metric,Family,Method,MeanRank
CenterlineRecall,dense,DS-DMAS,4.55555555555556
CenterlineRecall,dense,TR,1
CenterlineRecall,cluttered,DAS,2
CenterlineRecall,cluttered,CF-DAS,4.22222222222222
CenterlineRecall,cluttered,SCF-DAS,6
CenterlineRecall,cluttered,DMAS,3.11111111111111
CenterlineRecall,cluttered,DS-DMAS,4.66666666666667
CenterlineRecall,cluttered,TR,1
CenterlineRecall,fluence,DAS,2
CenterlineRecall,fluence,CF-DAS,4.11111111111111
CenterlineRecall,fluence,SCF-DAS,6
CenterlineRecall,fluence,DMAS,3
CenterlineRecall,fluence,DS-DMAS,4.88888888888889
CenterlineRecall,fluence,TR,1
BranchPointRecovery,sparse,DAS,2.27777777777778
BranchPointRecovery,sparse,CF-DAS,3.55555555555556
BranchPointRecovery,sparse,SCF-DAS,5.61111111111111
BranchPointRecovery,sparse,DMAS,3.22222222222222
BranchPointRecovery,sparse,DS-DMAS,4.05555555555556
BranchPointRecovery,sparse,TR,2.27777777777778
BranchPointRecovery,dense,DAS,1.72222222222222
BranchPointRecovery,dense,CF-DAS,4.27777777777778
BranchPointRecovery,dense,SCF-DAS,6
BranchPointRecovery,dense,DMAS,3.22222222222222
BranchPointRecovery,dense,DS-DMAS,4.38888888888889
BranchPointRecovery,dense,TR,1.38888888888889
BranchPointRecovery,cluttered,DAS,1.66666666666667
BranchPointRecovery,cluttered,CF-DAS,4.22222222222222
BranchPointRecovery,cluttered,SCF-DAS,6
BranchPointRecovery,cluttered,DMAS,3.38888888888889
BranchPointRecovery,cluttered,DS-DMAS,4.38888888888889
BranchPointRecovery,cluttered,TR,1.33333333333333
BranchPointRecovery,fluence,DAS,1.72222222222222
BranchPointRecovery,fluence,CF-DAS,4.33333333333333
BranchPointRecovery,fluence,SCF-DAS,6
BranchPointRecovery,fluence,DMAS,3.11111111111111
BranchPointRecovery,fluence,DS-DMAS,4.44444444444444
BranchPointRecovery,fluence,TR,1.38888888888889
TerminalBranchRecovery,sparse,DAS,2.05555555555556
TerminalBranchRecovery,sparse,CF-DAS,4.72222222222222
TerminalBranchRecovery,sparse,SCF-DAS,5.55555555555556
TerminalBranchRecovery,sparse,DMAS,2.83333333333333
TerminalBranchRecovery,sparse,DS-DMAS,3.77777777777778
TerminalBranchRecovery,sparse,TR,2.05555555555556
TerminalBranchRecovery,dense,DAS,1.77777777777778
TerminalBranchRecovery,dense,CF-DAS,5
TerminalBranchRecovery,dense,SCF-DAS,5.61111111111111
TerminalBranchRecovery,dense,DMAS,3.05555555555556
TerminalBranchRecovery,dense,DS-DMAS,4.33333333333333
TerminalBranchRecovery,dense,TR,1.22222222222222
TerminalBranchRecovery,cluttered,DAS,1.77777777777778
TerminalBranchRecovery,cluttered,CF-DAS,5
