Metric,Acquisition,Method,MeanRank
BranchPointRecovery,A1_reference,TR,1.58333333333333
BranchPointRecovery,A2_N96,DAS,1.875
BranchPointRecovery,A2_N96,CF-DAS,4
BranchPointRecovery,A2_N96,SCF-DAS,5.75
BranchPointRecovery,A2_N96,DMAS,3.25
BranchPointRecovery,A2_N96,DS-DMAS,4.5
BranchPointRecovery,A2_N96,TR,1.625
BranchPointRecovery,A3_fc3MHz,DAS,1.83333333333333
BranchPointRecovery,A3_fc3MHz,CF-DAS,4
BranchPointRecovery,A3_fc3MHz,SCF-DAS,6
BranchPointRecovery,A3_fc3MHz,DMAS,3.16666666666667
BranchPointRecovery,A3_fc3MHz,DS-DMAS,4.41666666666667
BranchPointRecovery,A3_fc3MHz,TR,1.58333333333333
TerminalBranchRecovery,A1_reference,DAS,1.875
TerminalBranchRecovery,A1_reference,CF-DAS,4.95833333333333
TerminalBranchRecovery,A1_reference,SCF-DAS,5.66666666666667
TerminalBranchRecovery,A1_reference,DMAS,3
TerminalBranchRecovery,A1_reference,DS-DMAS,4.125
TerminalBranchRecovery,A1_reference,TR,1.375
TerminalBranchRecovery,A2_N96,DAS,1.875
TerminalBranchRecovery,A2_N96,CF-DAS,5.20833333333333
TerminalBranchRecovery,A2_N96,SCF-DAS,5.5
TerminalBranchRecovery,A2_N96,DMAS,2.95833333333333
TerminalBranchRecovery,A2_N96,DS-DMAS,4.08333333333333
TerminalBranchRecovery,A2_N96,TR,1.375
TerminalBranchRecovery,A3_fc3MHz,DAS,1.79166666666667
TerminalBranchRecovery,A3_fc3MHz,CF-DAS,4.25
TerminalBranchRecovery,A3_fc3MHz,SCF-DAS,5.79166666666667
TerminalBranchRecovery,A3_fc3MHz,DMAS,3.20833333333333
TerminalBranchRecovery,A3_fc3MHz,DS-DMAS,4.41666666666667
TerminalBranchRecovery,A3_fc3MHz,TR,1.54166666666667
