Method,LowFluenceMean,LowFluenceSD,HighFluenceMean,HighFluenceSD,HighMinusLowMean
DAS,0.87037037037037,0.216951379886296,0.958152958152958,0.064537019549245,0.0877825877825878
CF-DAS,0.562962962962963,0.222911258155226,0.775613275613275,0.178456607450844,0.212650312650312
SCF-DAS,0.413888888888889,0.157177800948833,0.538961038961039,0.151008933263735,0.12507215007215
DMAS,0.663888888888889,0.171442005095342,0.87987012987013,0.123590040978405,0.215981240981241
DS-DMAS,0.55462962962963,0.16599401298143,0.827922077922078,0.151209493794741,0.273292448292448
TR,0.972222222222222,0.058925565098879,0.97979797979798,0.0400871410767363,0.00757575757575754
