Method,MeanVesselToClutter_dB,SDVesselToClutter_dB,MinVesselToClutter_dB,MaxVesselToClutter_dB
DAS,9.41941675452929,0.858649283036191,8.18126936909472,10.4803236029349
CF-DAS,18.1579430403569,2.60193003487923,14.3538981041811,21.0787147506822
SCF-DAS,13.0269642124107,2.79840234897786,8.69288747786679,16.8054680512831
DMAS,11.4451679823338,2.15930076762861,7.9520531839788,13.4976454473541
DS-DMAS,13.7962110414632,4.54968192436318,7.09819774690244,18.6129185233896
TR,8.62731487472295,0.915750971710991,7.53732539773999,10.4258427782068
