SNR_dB,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,RankBiserial,P_Wilcoxon_Raw,P_Wilcoxon_Holm15,PrimaryPairwiseSignificant,Seeds_A_Better,Seeds_B_Better,Seeds_Tied
20,SBR,DAS,TR,0.836539476608701,0.7667384996178,0.935140690182132,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
20,SBR,SCF-DAS,TR,14.5570830472308,14.0130477962038,14.9462639344276,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
30,SBR,DAS,SCF-DAS,-13.4469208519539,-13.9234042899404,-12.7506566828527,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
30,SBR,DAS,TR,0.851964305303598,0.780745791449299,0.958208886979399,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
30,SBR,SCF-DAS,TR,14.3968733254175,13.7569212679056,14.7957368484774,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
5,SI-NRMSE,DAS,SCF-DAS,-0.25120917232862,-0.256121270986709,-0.246563751699602,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
5,SI-NRMSE,DAS,TR,-0.00342112273125755,-0.00628555890763594,0.00104599478293399,0.130980392156863,0.420214729343865,0.840429458687731,0,30,20,0
5,SI-NRMSE,SCF-DAS,TR,0.249136436007836,0.24708862699657,0.2501444559695,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
10,SI-NRMSE,DAS,SCF-DAS,-0.263532717730188,-0.265856112816904,-0.259164289692339,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
10,SI-NRMSE,DAS,TR,-0.013087760426672,-0.0169297227426905,-0.00930763313396508,0.764705882352941,2.52657520785658e-06,7.57972562356974e-06,1,40,10,0
10,SI-NRMSE,SCF-DAS,TR,0.250462757788524,0.249024408635444,0.251671123563159,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
15,SI-NRMSE,DAS,SCF-DAS,-0.26719964326315,-0.269891901626413,-0.262708069812081,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
15,SI-NRMSE,DAS,TR,-0.016874171207665,-0.020279330884564,-0.0118944339571321,0.894901960784314,3.64595328735412e-08,1.09378598620623e-07,1,42,8,0
15,SI-NRMSE,SCF-DAS,TR,0.249986809195204,0.247987997518607,0.252013828514172,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
20,SI-NRMSE,DAS,SCF-DAS,-0.267808005531917,-0.270150835284519,-0.264478132102824,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
20,SI-NRMSE,DAS,TR,-0.0181014391402285,-0.021408070190187,-0.0136312568168,0.915294117647059,1.77422156320191e-08,5.32266468960572e-08,1,43,7,0
20,SI-NRMSE,SCF-DAS,TR,0.249229301224812,0.247849412582455,0.25136900461171,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
30,SI-NRMSE,DAS,SCF-DAS,-0.268398999239347,-0.270662026239966,-0.264674558228965,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
30,SI-NRMSE,DAS,TR,-0.0186651886620181,-0.0219606262662581,-0.01442339701096,0.92156862745098,1.41716969148695e-08,4.25150907446086e-08,1,44,6,0
30,SI-NRMSE,SCF-DAS,TR,0.249465070349985,0.247262879797149,0.250678872737002,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
5,SSIM,DAS,SCF-DAS,-0.547717225038673,-0.558871068599011,-0.533179595617687,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
5,SSIM,DAS,TR,-0.211831588471299,-0.221274016582003,-0.199396163279337,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
5,SSIM,SCF-DAS,TR,0.335631399378222,0.332818276951366,0.337066736240076,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
10,SSIM,DAS,SCF-DAS,-0.367636108028312,-0.374891870504732,-0.355074505832617,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
10,SSIM,DAS,TR,-0.0898892496454829,-0.095431941982851,-0.0786474310067092,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
10,SSIM,SCF-DAS,TR,0.277731624131189,0.275967479828979,0.278499989990993,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
15,SSIM,DAS,SCF-DAS,-0.251234516719017,-0.257640802317767,-0.244668444508658,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
15,SSIM,DAS,TR,0.00352333555587298,-0.004331125172018,0.00961562188571707,0.0211764705882353,0.896313841068174,0.896313841068174,0,27,23,0
15,SSIM,SCF-DAS,TR,0.253858383288616,0.252007688010665,0.255453414081589,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
20,SSIM,DAS,SCF-DAS,-0.203430859318008,-0.208583788390344,-0.197414305795905,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
20,SSIM,DAS,TR,0.042614945663399,0.0367520244617839,0.045679275598368,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
20,SSIM,SCF-DAS,TR,0.245454864717585,0.243613272755564,0.247078709299483,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
30,SSIM,DAS,SCF-DAS,-0.181779370682123,-0.185375707312704,-0.177307832275653,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
30,SSIM,DAS,TR,0.060326387783932,0.057623838685638,0.063129354736424,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
30,SSIM,SCF-DAS,TR,0.24233292342189,0.240535227277234,0.244127077978328,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
