FamilyID,SNR_dB,Metric,MetricLabel,N,Method,MeanRank,MedianRank,FinalMeanRank_N50,MeanRankShiftFromN50
3,5,SSIM,SSIM,30,DAS,5.96666666666667,6,5.98,-0.0133333333333336
3,5,SSIM,SSIM,30,CF-DAS,2.9,3,2.92,-0.02
3,5,SSIM,SSIM,30,SCF-DAS,1,1,1,0
3,5,SSIM,SSIM,30,DMAS,5.03333333333333,5,5.02,0.0133333333333336
3,5,SSIM,SSIM,30,DS-DMAS,2.1,2,2.08,0.02
3,5,SSIM,SSIM,30,TR,4,4,4,0
3,5,SSIM,SSIM,40,DAS,5.975,6,5.98,-0.00500000000000078
3,5,SSIM,SSIM,40,CF-DAS,2.925,3,2.92,0.00499999999999989
3,5,SSIM,SSIM,40,SCF-DAS,1,1,1,0
3,5,SSIM,SSIM,40,DMAS,5.025,5,5.02,0.00500000000000078
3,5,SSIM,SSIM,40,DS-DMAS,2.075,2,2.08,-0.00499999999999989
3,5,SSIM,SSIM,40,TR,4,4,4,0
3,5,SSIM,SSIM,50,DAS,5.98,6,5.98,0
3,5,SSIM,SSIM,50,CF-DAS,2.92,3,2.92,0
3,5,SSIM,SSIM,50,SCF-DAS,1,1,1,0
3,5,SSIM,SSIM,50,DMAS,5.02,5,5.02,0
3,5,SSIM,SSIM,50,DS-DMAS,2.08,2,2.08,0
3,5,SSIM,SSIM,50,TR,4,4,4,0
4,5,CNR,CNR,10,DAS,2,2,1.96,0.04
4,5,CNR,CNR,10,CF-DAS,3,3,3,0
4,5,CNR,CNR,10,SCF-DAS,6,6,6,0
4,5,CNR,CNR,10,DMAS,4,4,4,0
4,5,CNR,CNR,10,DS-DMAS,5,5,5,0
4,5,CNR,CNR,10,TR,1,1,1.04,-0.04
4,5,CNR,CNR,20,DAS,2,2,1.96,0.04
4,5,CNR,CNR,20,CF-DAS,3,3,3,0
4,5,CNR,CNR,20,SCF-DAS,6,6,6,0
4,5,CNR,CNR,20,DMAS,4,4,4,0
4,5,CNR,CNR,20,DS-DMAS,5,5,5,0
4,5,CNR,CNR,20,TR,1,1,1.04,-0.04
4,5,CNR,CNR,30,DAS,2,2,1.96,0.04
4,5,CNR,CNR,30,CF-DAS,3,3,3,0
4,5,CNR,CNR,30,SCF-DAS,6,6,6,0
4,5,CNR,CNR,30,DMAS,4,4,4,0
4,5,CNR,CNR,30,DS-DMAS,5,5,5,0
4,5,CNR,CNR,30,TR,1,1,1.04,-0.04
4,5,CNR,CNR,40,DAS,1.975,2,1.96,0.0150000000000001
4,5,CNR,CNR,40,CF-DAS,3,3,3,0
4,5,CNR,CNR,40,SCF-DAS,6,6,6,0
4,5,CNR,CNR,40,DMAS,4,4,4,0
