FamilyID,SNR_dB,Metric,MetricLabel,N,P_Friedman,Kendall_W,SpearmanToN50,CheckpointWinner,FinalWinner_N50,WinnerMatchesFinal,MaxAbsMeanRankShift
11,15,SI_NRMSE,SI-NRMSE,50,9.60848414240726e-48,0.920868571428571,1,DAS,DAS,1,0
12,15,Correlation,Correlation,10,9.84199289717258e-09,0.916571428571429,0.985610760609162,DAS,DAS,1,0.18
12,15,Correlation,Correlation,20,2.13280615395644e-18,0.923714285714286,1,DAS,DAS,1,0.05
12,15,Correlation,Correlation,30,2.27999358306176e-28,0.930031746031746,1,DAS,DAS,1,0.12
12,15,Correlation,Correlation,40,2.71942247261487e-38,0.930285714285714,1,DAS,DAS,1,0.02
12,15,Correlation,Correlation,50,3.25310679869326e-48,0.929645714285714,1,DAS,DAS,1,0
13,15,SSIM,SSIM,10,5.17228334442398e-09,0.944,0.985610760609162,SCF-DAS,SCF-DAS,1,0.04
13,15,SSIM,SSIM,20,7.45157142791034e-19,0.945428571428571,0.985610760609162,SCF-DAS,SCF-DAS,1,0.04
13,15,SSIM,SSIM,30,8.48655538123728e-29,0.943492063492063,1,SCF-DAS,SCF-DAS,1,0.0733333333333333
13,15,SSIM,SSIM,40,7.35571718418779e-39,0.943571428571429,1,SCF-DAS,SCF-DAS,1,0.0649999999999999
13,15,SSIM,SSIM,50,4.7242731334291e-49,0.94528,1,SCF-DAS,SCF-DAS,1,0
14,15,CNR,CNR,10,1.76565273908492e-09,0.989714285714286,1,TR,TR,1,0.02
14,15,CNR,CNR,20,6.87798878795111e-20,0.994571428571429,1,TR,TR,1,0.0700000000000001
14,15,CNR,CNR,30,2.25197001916951e-30,0.992888888888889,1,TR,TR,1,0.0533333333333335
14,15,CNR,CNR,40,9.73126686403382e-41,0.9875,1,TR,TR,1,0.00499999999999989
14,15,CNR,CNR,50,2.44026766765121e-51,0.987931428571429,1,TR,TR,1,0
15,15,SBR_dB,SBR,10,1.38579733670096e-09,1,1,SCF-DAS,SCF-DAS,1,0.02
15,15,SBR_dB,SBR,20,5.28514836094325e-20,1,1,SCF-DAS,SCF-DAS,1,0.02
15,15,SBR_dB,SBR,30,1.33513788730032e-30,1,1,SCF-DAS,SCF-DAS,1,0.02
15,15,SBR_dB,SBR,40,2.84062289864151e-41,1,1,SCF-DAS,SCF-DAS,1,0.02
15,15,SBR_dB,SBR,50,9.55922894262065e-52,0.99552,1,SCF-DAS,SCF-DAS,1,0
16,20,SI_NRMSE,SI-NRMSE,10,1.43160096310005e-08,0.900571428571429,1,DAS,DAS,1,0.26
16,20,SI_NRMSE,SI-NRMSE,20,4.75616799798953e-18,0.907142857142857,0.985610760609162,DAS,DAS,1,0.16
16,20,SI_NRMSE,SI-NRMSE,30,6.06674869646788e-28,0.916698412698413,0.942857142857143,DAS,DAS,1,0.133333333333333
16,20,SI_NRMSE,SI-NRMSE,40,5.80948400020267e-38,0.922571428571429,1,DAS,DAS,1,0.01
16,20,SI_NRMSE,SI-NRMSE,50,6.84974888354439e-48,0.923611428571429,1,DAS,DAS,1,0
17,20,Correlation,Correlation,10,9.84199289717258e-09,0.916571428571429,0.985610760609162,DAS,DAS,1,0.18
17,20,Correlation,Correlation,20,2.13280615395644e-18,0.923714285714286,1,DAS,DAS,1,0.05
17,20,Correlation,Correlation,30,2.27999358306176e-28,0.930031746031746,1,DAS,DAS,1,0.12
17,20,Correlation,Correlation,40,2.71942247261487e-38,0.930285714285714,1,DAS,DAS,1,0.02
17,20,Correlation,Correlation,50,3.25310679869326e-48,0.929645714285714,1,DAS,DAS,1,0
18,20,SSIM,SSIM,10,2.71504124767185e-09,0.971428571428571,0.985610760609162,SCF-DAS,SCF-DAS,1,0.02
18,20,SSIM,SSIM,20,2.08428377886546e-19,0.971714285714286,1,SCF-DAS,SCF-DAS,1,0.0299999999999998
