FamilyID,SNR_dB,Metric,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,MedianDelta_Oriented,OrientedMedianCI95_Low,OrientedMedianCI95_High,P_Wilcoxon_Raw,RankBiserial,Seeds_A_Better,Seeds_B_Better,Seeds_Tied,P_Wilcoxon_Holm15,Significant_Holm15,P_Wilcoxon_Holm375,Significant_Holm375,OmnibusSignificant_Holm25,PrimaryPairwiseSignificant
1,5,SI_NRMSE,SI-NRMSE,DAS,CF-DAS,-0.0028431566588365,-0.00915038719077399,0.00463447335737549,0.0028431566588365,-0.00463447335737549,0.00915038719077399,0.264870268605316,0.181176470588235,27,23,0,0.794610805815947,0,1,0,1,0
1,5,SI_NRMSE,SI-NRMSE,DAS,SCF-DAS,-0.25120917232862,-0.256121270986709,-0.246563751699602,0.25120917232862,0.246563751699602,0.256121270986709,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,DAS,DMAS,-0.150145394265023,-0.156113844908114,-0.146537319527063,0.150145394265023,0.146537319527063,0.156113844908114,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,DAS,DS-DMAS,-0.228663534722547,-0.231202003248034,-0.222455157417915,0.228663534722547,0.222455157417915,0.231202003248034,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,DAS,TR,-0.00342112273125755,-0.00628555890763594,0.00104599478293399,0.00342112273125755,-0.00104599478293399,0.00628555890763594,0.420214729343865,0.130980392156863,30,20,0,0.840429458687731,0,1,0,1,0
1,5,SI_NRMSE,SI-NRMSE,CF-DAS,SCF-DAS,-0.248128317606831,-0.25863033248019,-0.237841935915708,0.248128317606831,0.237841935915708,0.25863033248019,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,CF-DAS,DMAS,-0.145641441074465,-0.152261681023369,-0.141380832002672,0.145641441074465,0.141380832002672,0.152261681023369,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,CF-DAS,DS-DMAS,-0.222642507653755,-0.237506645136196,-0.214601723446187,0.222642507653755,0.214601723446187,0.237506645136196,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,CF-DAS,TR,0.000209994079928,-0.012416272972655,0.0106553868366435,-0.000209994079928,-0.0106553868366435,0.012416272972655,0.527197558015289,-0.102745098039216,25,25,0,0.840429458687731,0,1,0,1,0
1,5,SI_NRMSE,SI-NRMSE,SCF-DAS,DMAS,0.101336706723281,0.0913074706667366,0.10545085053257,-0.101336706723281,-0.10545085053257,-0.0913074706667366,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
1,5,SI_NRMSE,SI-NRMSE,SCF-DAS,DS-DMAS,0.022007293296522,0.021105844058284,0.023718963399473,-0.022007293296522,-0.023718963399473,-0.021105844058284,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
