BaseSeed,OriginalSeedSubset,NoiseSeed,TargetSNR_dB,AchievedSNR_dB,Method,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
25,0,300025,10,10,DAS,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,-0.12463692263726,0.982290177655036,0.688367515221073,0.733373394669086,0.580497724982404,2.13878392090994,17.5725649875516,29.4663058084231,0.0186240090042398,0.00246288947925916,0.0527305,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
25,0,300025,10,10,CF-DAS,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,-0.12463692263726,0.998109575194587,0.705571430230257,0.708122190012658,0.874413469147898,1.07009421065277,25.4499333420637,265.388532902868,0.00243595107145103,0.00013006842868366,0.0528656,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
25,0,300025,10,10,SCF-DAS,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,-0.12463692263726,0.999710857812643,0.949145881635235,0.313134678531488,0.903096950553137,0.327754159479522,31.8330507003773,342.36320200141,0.000873092369543863,2.2356697864662e-05,0.0703324,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
25,0,300025,10,10,DMAS,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,-0.12463692263726,0.997010046295162,0.840033466773204,0.535151293178384,0.525859401803735,0.733601771668742,21.2900701667573,98.0890887323367,0.00473576109089052,0.000408212478799812,0.088608,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
25,0,300025,10,10,DS-DMAS,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,-0.12463692263726,0.99885640611421,0.921437478687312,0.375951362416525,0.880487710377309,0.438675187947704,22.7249462405019,131.572370578461,0.00261133176305889,0.000190815978754864,2.361305,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
25,0,300025,10,10,TR,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,-0.12463692263726,0.778008532905099,0.696287409229167,0.727288316784961,0.629209434307013,2.30613149931466,17.01396157334,1.9364503181231,0.273505085993273,0.0385715710206918,28.4067707,direct_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
