BaseSeed,OriginalSeedSubset,NoiseSeed,TargetSNR_dB,AchievedSNR_dB,Method,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
43,0,300043,15,15,DAS,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,0.19734601332414,0.980492866296872,0.685679447426375,0.735392990522611,0.681896178698215,2.19816988225421,17.566456088211,26.9196035892595,0.020432311290069,0.00270392531692801,0.061721,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
43,0,300043,15,15,CF-DAS,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,0.19734601332414,0.997684124169191,0.675091915191207,0.737121043729294,0.873580422679649,1.16816522924466,25.7317668936552,234.780046915386,0.00287095365454346,0.000148401345007468,0.0618366,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
43,0,300043,15,15,SCF-DAS,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,0.19734601332414,0.999510869729801,0.938104593047373,0.343573128080928,0.904721821101809,0.363262533560381,35.6157869762336,244.810144243131,0.00135142892971002,2.23874105032545e-05,0.0809355,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
43,0,300043,15,15,DMAS,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,0.19734601332414,0.996224924355976,0.824810599643031,0.556393563794954,0.574366605843047,0.753713339698281,22.5734477328681,84.3408910410405,0.0058853751277284,0.000437624636359126,0.1015621,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
43,0,300043,15,15,DS-DMAS,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,0.19734601332414,0.998350896878215,0.915543487243128,0.390470413024695,0.88102418683601,0.441133840226726,25.6836400101594,97.6802681602279,0.00378276171053297,0.000196619679529028,2.1343158,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
43,0,300043,15,15,TR,1500.00000007947,20.0000000141257,1455.2431640625,1540.92834472656,999.999999981787,15.000000098162,0.19734601332414,0.779110644360927,0.696523117654835,0.727322873704768,0.658668917864128,2.30732505202452,16.9937345933283,1.94750880170009,0.271626093525415,0.0383958917037294,51.6803728,direct_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
