BaseSeed,OriginalSeedSubset,NoiseSeed,TargetSNR_dB,AchievedSNR_dB,Method,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
37,0,300037,5,5,DAS,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,-0.0792622938326533,0.981840870084074,0.700393159172254,0.718899562265721,0.397430647088818,2.15746728433288,17.1217947287421,27.8026285271608,0.0190300417169937,0.00265063546162272,0.0458725,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
37,0,300037,5,5,CF-DAS,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,-0.0792622938326533,0.998104875641983,0.66654893972364,0.745049852363889,0.87012900378331,1.2173117514051,25.0318990938824,293.010006603045,0.00230336015436231,0.000129052640539102,0.0460015,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
37,0,300037,5,5,SCF-DAS,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,-0.0792622938326533,0.999749587325478,0.94416016612324,0.327608353064026,0.90117721826049,0.346337912719496,30.9099790494373,433.084404202189,0.000720131737408835,2.05075131615505e-05,0.0633169,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
37,0,300037,5,5,DMAS,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,-0.0792622938326533,0.99693666084518,0.818542852998607,0.567263623037007,0.468712727747439,0.821999897554266,20.7996759116077,107.384443522736,0.00451663557351714,0.000411937429991932,0.0813518,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
37,0,300037,5,5,DS-DMAS,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,-0.0792622938326533,0.998953544584649,0.919285706285849,0.381331270826168,0.879231966554749,0.450965400411801,22.2952417361742,147.612482614503,0.00233799015775994,0.000179506670539505,2.2634029,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
37,0,300037,5,5,TR,1500.00000022517,20.0000000590814,1447.025390625,1538.24536132812,999.999999925494,14.9999999935387,-0.0792622938326533,0.779796796670888,0.700909778215015,0.722834316493924,0.57427609733752,2.30348714417266,16.8695400468052,1.92003631597444,0.272257289922147,0.039039344313529,27.0032249,direct_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
