BaseSeed,OriginalSeedSubset,NoiseSeed,TargetSNR_dB,AchievedSNR_dB,Method,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
11,0,300011,15,15,DAS,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,-0.389161914089575,0.985657016082954,0.676526059899958,0.744305741721174,0.628270467136017,2.1818637022708,17.8936698391596,37.5766696947589,0.0150312845063437,0.00191563429323834,0.0480784,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
11,0,300011,15,15,CF-DAS,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,-0.389161914089575,0.998900389286644,0.677084743835559,0.734617283017196,0.876101407180174,1.13978363202962,26.4337219375478,492.268575639647,0.00137279575987524,6.54515343893967e-05,0.0481495,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
11,0,300011,15,15,SCF-DAS,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,-0.389161914089575,0.999832733564091,0.938179431689028,0.344069448535972,0.897935963809339,0.368756114445833,31.1714184317391,715.897862898006,0.000455804306254831,1.25952705965335e-05,0.0649145,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
11,0,300011,15,15,DMAS,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,-0.389161914089575,0.997985512784002,0.855363686932736,0.516170129450242,0.406874588256521,0.702948147203147,21.0504538350147,132.84397204367,0.00330930057441515,0.000293233458709681,0.0826429,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
11,0,300011,15,15,DS-DMAS,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,-0.389161914089575,0.999257865816675,0.923630501822526,0.36879268212657,0.864383927898369,0.441263923466081,21.735629897693,197.523875196915,0.00167977460676637,0.00013755282584555,2.3992941,shared_delay_plus_weighting,scalar_straight_ray_c1500,physical_element_centres
11,0,300011,15,15,TR,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,-0.389161914089575,0.778399103912227,0.69715430183658,0.72651501532749,0.644628655979471,2.30355140133338,16.9700127661227,1.93405608340717,0.273082425763487,0.0387073209635019,28.3832898,direct_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
