StageIndex,Stage,StageLabel,Method,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,ZeroBackground,Runtime_s,RuntimeDefinition,ReconSoundSpeedModel,FiniteApertureTreatment
0,D0_ideal,Ideal,DAS,0.913566425806744,0.460156901486893,0.888503874748292,0.701628666143171,2.73742461798937,21.4729338982419,9.00231148581922,0.048646610373824,0.00410587657158294,0,0.0503135,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
0,D0_ideal,Ideal,CF-DAS,0.97561603473775,0.449771235339411,0.888483943453322,0.93394596721731,1.47321993276747,28.890472744651,32.6103508333487,0.0151981701688244,0.000546094327814356,0,0.0507379,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
0,D0_ideal,Ideal,SCF-DAS,0.996193667832562,0.732849381225136,0.670871638685745,0.871494979281468,0.796685242137217,30.6820312652062,121.351327226407,0.00313760723524256,9.17269629794441e-05,0,0.0704169,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
0,D0_ideal,Ideal,DMAS,0.967189550409718,0.514666912128891,0.859957475278712,0.323030337788534,1.42426129834722,24.0516710295344,22.2671995948428,0.020480742404819,0.00128458292161053,0,0.102646,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
0,D0_ideal,Ideal,DS-DMAS,0.981718008921616,0.655275503208042,0.755520467891389,0.357806557721812,1.06740691640569,20.0011377642987,30.9915491305946,0.0122921519042008,0.00122905418612178,0,1.564606,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
0,D0_ideal,Ideal,TR,0.257196227643175,0.25038882185446,0.967237618188721,0.845639987497359,2.80615152047754,28.6673440557483,1.06464096563507,0.496823587309511,0.0183161842462188,0,16.9805884,actual_TR_wall_time,recorded_c_rho_maps,point_receiver_coordinates
1,D1_bandwidth,+ Bandwidth,DAS,0.984337190498452,0.713633431995631,0.711287555552406,0.816726411810314,1.61188566009049,16.15276632555,31.0698567994709,0.00995473890751649,0.0015502136533604,0,0.0501543,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
1,D1_bandwidth,+ Bandwidth,CF-DAS,0.998679899389593,0.832294693812762,0.561539049328667,0.884125188922672,0.747780833719231,16.3771943098834,232.42700202972,0.00109693006739542,0.000166463578065862,0,0.0503191,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
1,D1_bandwidth,+ Bandwidth,SCF-DAS,0.999834201379171,0.933883497884067,0.361301583215405,0.860466504351569,0.383132117745432,18.4609197025855,770.749835763965,0.000228670848583599,2.73001364853881e-05,0,0.0676161,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
1,D1_bandwidth,+ Bandwidth,DMAS,0.997259071393215,0.822197130915339,0.560902757081051,0.698133920817953,0.867745005575807,15.550561414868,117.865238446281,0.00208709563741313,0.000348348768507657,0,0.0887881,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
1,D1_bandwidth,+ Bandwidth,DS-DMAS,0.998974801578273,0.900111194222819,0.416836976856147,0.870585558659327,0.613417381157466,13.9565029391323,184.728326486145,0.000924590572612598,0.000185406226075971,0,1.5506827,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
1,D1_bandwidth,+ Bandwidth,TR,0.804829108802316,0.760152246601213,0.662472976559527,0.772214664812935,1.52505068690817,15.0924224679212,1.68623022001054,0.16097656674304,0.0283231490134371,0,16.7981667,actual_TR_wall_time,recorded_c_rho_maps,point_receiver_coordinates
2,D2_finite_aperture,+ Finite aperture,DAS,0.984215249525956,0.714658432626327,0.710265548704981,0.817854055936967,1.59546366152771,16.167192780853,30.7342582343724,0.0100553782350549,0.00156328720114696,0,0.0669228,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
