Replicate,MorphologySeed,Family,Acquisition,AcquisitionLabel,Channels,CenterFrequency_MHz,FractionalBandwidth_percent,Method,Segments,BranchPoints,TerminalPoints,CMean_mps,CStd_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,AchievedSNR_dB,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,CenterlineRecall,MeanSegmentContinuity,MedianSegmentContinuity,BranchPointRecovery,TerminalBranchRecovery,LowFluenceTerminalRecovery,HighFluenceTerminalRecovery,VesselToClutterRatio_dB,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,DAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,20.0000002033179,0.984914668295064,0.7179815534691,0.708233445649703,0.759038507935044,1.58244141592771,16.6347380075723,31.8535755481511,0.00989677972669372,0.00145799825390327,0.865151515151515,0.865151515151515,1,0.904761904761905,0.826086956521739,NaN,NaN,10.2008031815398,0.1446044,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,CF-DAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,20.0000002033179,0.99871642793597,0.814208040825317,0.587929666014575,0.858780704099954,0.782726667301758,18.012029267097,262.267095465263,0.00108192403145623,0.000136017661526126,0.495454545454545,0.495454545454545,0.566666666666667,0.523809523809524,0.347826086956522,NaN,NaN,21.0079166725674,0.144757,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,SCF-DAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,20.0000002033179,0.999915487534584,0.95183169687613,0.315324971340987,0.853351722284637,0.521075170497009,14.4356078551408,1112.00304079551,0.000105503310163402,2.00209966545718e-05,0.398484848484848,0.398484848484848,0.4,0.476190476190476,0.434782608695652,NaN,NaN,16.8054680512831,0.1786463,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,DMAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,20.0000002033179,0.997584705600636,0.841328884007754,0.530932970067038,0.594701294739491,0.880982006710362,14.8968879625595,120.609021504236,0.00186551208287482,0.000335701798665579,0.643939393939394,0.643939393939394,0.833333333333333,0.666666666666667,0.608695652173913,NaN,NaN,12.8445980065374,0.2085059,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,DS-DMAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,20.0000002033179,0.999387420050559,0.908581555427852,0.393815553318172,0.838703907924953,0.610864302497103,14.3366697642857,284.413790602415,0.000598112354418089,0.000114801955282999,0.577272727272727,0.577272727272727,0.7,0.619047619047619,0.565217391304348,NaN,NaN,16.3633122199134,5.1889893,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,TR,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,20.0000002033179,0.811734642212047,0.750028394043795,0.676035034279102,0.719412378712643,1.71143994712481,15.1815513777272,1.88450981549051,0.148800103515362,0.0259134755141363,0.91969696969697,0.91969696969697,1,1,0.91304347826087,NaN,NaN,8.16932856449423,62.8307482,actual_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
1,101,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,DAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,19.9999999378011,0.984895177563971,0.717946815527062,0.707861670217999,0.755945733562767,1.58135294560417,16.6307914635478,31.815452468825,0.00991111519976532,0.00146077373284701,0.865151515151515,0.865151515151515,1,0.904761904761905,0.826086956521739,NaN,NaN,10.2263297704697,0.0955618,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,CF-DAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,19.9999999378011,0.998712079688088,0.813619153220677,0.588739836290997,0.858642214762189,0.782507228904968,18.0506756551302,262.125298989526,0.00108598559190582,0.000135922164111055,0.496969696969697,0.496969696969697,0.566666666666667,0.571428571428571,0.347826086956522,NaN,NaN,21.0787147506822,0.0959065,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,SCF-DAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,19.9999999378011,0.999914956239125,0.948927230790835,0.324280429875828,0.852793288366279,0.536016060645136,14.257414588819,1169.97181525815,0.000102610297532746,1.98755986067422e-05,0.436363636363636,0.436363636363636,0.5,0.523809523809524,0.478260869565217,NaN,NaN,15.6713857800533,0.1217499,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
1,101,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,DMAS,44,21,23,1500.00510345234,14.9547280293641,1000.00000651512,10.0000059310023,0.243863971725117,19.9999999378011,0.997708984571104,0.852805960760764,0.521854711217614,0.483552290148632,0.846281952969648,14.8559179843507,118.674190874416,0.00183138531752335,0.000331118791893357,0.637878787878788,0.637878787878788,0.866666666666667,0.666666666666667,0.608695652173913,NaN,NaN,13.0422654831087,0.1445829,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
