Replicate,MediumSeed,TargetCStd,CMean,CStd,CMin,CMax,TargetRhoStd,RhoMean,RhoStd,CorrCRho
1,3101,15,1500.02819824219,14.9547538757324,1420,1580,10,999.988952636719,10.0000343322754,0.243863971725117
2,3202,20,1499.51477050781,17.7699737548828,1463.11535644531,1580,15,999.821838378906,14.2276391983032,0.411901033818716
3,3303,25,1500.0537109375,24.7518253326416,1420,1515.22314453125,20,999.388244628906,17.6333789825439,-0.669665168950064
