Replicate,MorphologySeed,Family,Acquisition,AcquisitionLabel,Channels,CenterFrequency_MHz,FractionalBandwidth_percent,Method,Segments,BranchPoints,TerminalPoints,CMean_mps,CStd_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,AchievedSNR_dB,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,CenterlineRecall,MeanSegmentContinuity,MedianSegmentContinuity,BranchPointRecovery,TerminalBranchRecovery,LowFluenceTerminalRecovery,HighFluenceTerminalRecovery,VesselToClutterRatio_dB,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,DAS,16,7,9,1500.07346570492,24.7518536812046,999.382742731108,17.6333916594886,-0.669665168950064,20.0000003095306,0.98213063669196,0.719230910858005,0.706572721630952,0.748424933510497,1.4981642103498,17.7762191470554,26.7471043829254,0.0134079134987747,0.00173200938958647,0.9875,0.9875,1,1,1,NaN,NaN,9.33211238168546,0.0510677,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,CF-DAS,16,7,9,1500.07346570492,24.7518536812046,999.382742731108,17.6333916594886,-0.669665168950064,20.0000003095306,0.997838602369955,0.776132365194153,0.635204362081095,0.866649371122724,0.772179914381715,20.6960781340444,183.661288426883,0.00200944667732552,0.000185469533468567,0.675,0.675,0.733333333333333,0.857142857142857,0.555555555555556,NaN,NaN,17.1442355494004,0.0511804,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,SCF-DAS,16,7,9,1500.07346570492,24.7518536812046,999.382742731108,17.6333916594886,-0.669665168950064,20.0000003095306,0.999821714841214,0.933522213444638,0.36358654747778,0.862885503986357,0.426814270843695,16.970374992695,720.522854930282,0.000257624693092441,3.65147841532424e-05,0.5,0.5,0.6,0.571428571428571,0.666666666666667,NaN,NaN,11.9218923393873,0.0686921,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,DMAS,16,7,9,1500.07346570492,24.7518536812046,999.382742731108,17.6333916594886,-0.669665168950064,20.0000003095306,0.996517689429691,0.801733153953139,0.59478335885203,0.529437150671325,0.81750196679983,17.416208592335,102.258916689552,0.00305387675692554,0.000411188610790436,0.820833333333333,0.820833333333333,0.966666666666667,0.857142857142857,0.888888888888889,NaN,NaN,12.8836832045987,0.0868691,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,DS-DMAS,16,7,9,1500.07346570492,24.7518536812046,999.382742731108,17.6333916594886,-0.669665168950064,20.0000003095306,0.99889992343989,0.877815546221787,0.462539780107824,0.832900185714199,0.524499315789388,17.717331822053,208.18076010248,0.00123230907260426,0.000160270301819135,0.6,0.6,0.633333333333333,0.857142857142857,0.666666666666667,NaN,NaN,18.6129185233896,1.2596717,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,TR,16,7,9,1500.07346570492,24.7518536812046,999.382742731108,17.6333916594886,-0.669665168950064,20.0000003095306,0.824647768424546,0.699807035079687,0.728626366070524,0.675791796565364,1.93094578249936,16.7535571104774,2.56878216280042,0.139483852926124,0.0202696420674733,1,1,1,1,1,NaN,NaN,9.32924256533385,22.3745492,actual_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
