Replicate,MorphologySeed,Family,Acquisition,AcquisitionLabel,Channels,CenterFrequency_MHz,FractionalBandwidth_percent,Method,Segments,BranchPoints,TerminalPoints,CMean_mps,CStd_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,AchievedSNR_dB,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,CenterlineRecall,MeanSegmentContinuity,MedianSegmentContinuity,BranchPointRecovery,TerminalBranchRecovery,LowFluenceTerminalRecovery,HighFluenceTerminalRecovery,VesselToClutterRatio_dB,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997084886,0.991525420844703,0.737300975314824,0.683517084925681,0.764717727582416,1.56728657549126,17.644822190816,53.5781343801629,0.00644281928699986,0.000844957452087987,0.990476190476191,0.990476190476191,1,1,1,NaN,NaN,NaN,0.1264167,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,CF-DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997084886,0.999526886190691,0.849250854685366,0.52893873253788,0.880883393999373,0.719234982854267,21.0205592834444,588.869281935868,0.000518078861592196,4.6064664092464e-05,0.804761904761905,0.804761904761905,0.966666666666667,0.923076923076923,0.8,NaN,NaN,NaN,0.1266708,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,SCF-DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997084886,0.999965587296114,0.974959506787373,0.225037755002833,0.881562472911852,0.310295138679056,18.7917482645819,1436.60895935577,8.29912536528013e-05,9.53772753570002e-06,0.426190476190476,0.426190476190476,0.466666666666667,0.615384615384615,0.6,NaN,NaN,NaN,0.1589123,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,DMAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997084886,0.999128783827529,0.914504071313755,0.412651847573921,0.519091237105569,0.618373675050792,16.2443014797188,187.458483952297,0.00104260252938644,0.000160658497186384,0.797619047619048,0.797619047619048,0.933333333333333,0.846153846153846,0.8,NaN,NaN,NaN,0.192666,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,DS-DMAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997084886,0.999720085704725,0.948260651366486,0.29923554958277,0.864396930803801,0.401376895601726,17.4570946376546,359.666143115456,0.000461273865073551,6.18164580209352e-05,0.623809523809524,0.623809523809524,0.733333333333333,0.769230769230769,0.733333333333333,NaN,NaN,NaN,5.2100147,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,TR,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997084886,0.856457243986125,0.739307359596849,0.686966032953683,0.70321415583934,1.61054171456324,16.952623412248,2.79407798116763,0.118296735155108,0.0168012497711412,0.995238095238095,0.995238095238095,1,1,1,NaN,NaN,NaN,37.7739903,actual_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
