Method,AddedFactor,Metric,Deterioration
SCF-DAS,Heterogeneity,CNR,0.092748242777123
SCF-DAS,Attenuation,CNR,0.00923865108774602
SCF-DAS,Noise,CNR,-0.00818797598161303
DMAS,Bandwidth,CNR,0.556516292771413
DMAS,Finite aperture,CNR,0.00435113062412407
DMAS,Heterogeneity,CNR,0.202809444929702
DMAS,Attenuation,CNR,0.051868084882286
DMAS,Noise,CNR,-0.00958598129083499
DS-DMAS,Bandwidth,CNR,0.453989535248224
DS-DMAS,Finite aperture,CNR,0.00332774856704399
DS-DMAS,Heterogeneity,CNR,0.119115512806177
DS-DMAS,Attenuation,CNR,0.020848668490019
DS-DMAS,Noise,CNR,-0.00207103560156702
TR,Bandwidth,CNR,1.28110083356937
TR,Finite aperture,CNR,0.0147554336795199
TR,Heterogeneity,CNR,-0.00187371359027999
TR,Attenuation,CNR,-0.0256109569060501
TR,Noise,CNR,0.00145501175807006
DAS,Bandwidth,SBR_dB,5.3201675726919
DAS,Finite aperture,SBR_dB,-0.0144264553029991
DAS,Heterogeneity,SBR_dB,-0.440272261624301
DAS,Attenuation,SBR_dB,-0.332781006566599
DAS,Noise,SBR_dB,0.0551281582099001
CF-DAS,Bandwidth,SBR_dB,12.5132784347676
CF-DAS,Finite aperture,SBR_dB,-0.015582234243201
CF-DAS,Heterogeneity,SBR_dB,-2.5047337982057
CF-DAS,Attenuation,SBR_dB,-1.3743352548732
CF-DAS,Noise,SBR_dB,0.00333407417799947
SCF-DAS,Bandwidth,SBR_dB,12.2211115626207
SCF-DAS,Finite aperture,SBR_dB,-0.0875751553890005
SCF-DAS,Heterogeneity,SBR_dB,-2.2449016504006
SCF-DAS,Attenuation,SBR_dB,-1.0531120756474
SCF-DAS,Noise,SBR_dB,0.551711587563201
DMAS,Bandwidth,SBR_dB,8.5011096146664
DMAS,Finite aperture,SBR_dB,0.0102517675403995
DMAS,Heterogeneity,SBR_dB,-0.9990857508994
DMAS,Attenuation,SBR_dB,-0.545038863746001
DMAS,Noise,SBR_dB,0.213577825424501
DS-DMAS,Bandwidth,SBR_dB,6.0446348251664
DS-DMAS,Finite aperture,SBR_dB,0.00362542055789916
DS-DMAS,Heterogeneity,SBR_dB,-0.730367780855099
DS-DMAS,Attenuation,SBR_dB,-0.350960095467101
DS-DMAS,Noise,SBR_dB,0.266734186410201
TR,Bandwidth,SBR_dB,13.5749215878271
TR,Finite aperture,SBR_dB,-0.0198281561588001
TR,Heterogeneity,SBR_dB,0.0584769877221998
TR,Attenuation,SBR_dB,0.00793919279339939
TR,Noise,SBR_dB,-0.00393822190119941
